Date,Open,High,Low,Close,Adj Close,Volume
2022-09-01,94.419998,95.070000,92.290001,93.870003,90.046005,16423000
2022-09-02,96.349998,96.790001,95.110001,95.589996,91.695923,18206800
2022-09-06,96.160004,96.589996,94.510002,94.949997,91.082008,19201500
2022-09-07,93.190002,94.589996,92.300003,94.139999,90.304993,16274700
2022-09-08,94.660004,95.419998,93.720001,94.910004,91.043633,18759200
2022-09-09,96.519997,97.000000,95.320000,96.500000,92.568863,17158000
2022-09-12,97.650002,99.190002,96.879997,97.610001,93.633644,16118900
2022-09-13,96.610001,97.779999,94.910004,95.330002,91.446526,18229100
2022-09-14,96.190002,98.559998,96.150002,97.669998,93.691193,22655700
2022-09-15,96.220001,96.540001,94.050003,94.830002,90.966896,21092300
2022-09-16,95.070000,95.339996,92.000000,93.209999,89.412888,37874700
2022-09-19,91.010002,93.489998,91.000000,93.199997,89.403290,15342100
2022-09-20,92.730003,92.930000,91.639999,92.440002,88.674255,14712500
2022-09-21,93.570000,93.879997,90.870003,90.949997,87.244957,17332400
2022-09-22,92.199997,92.660004,90.519997,90.570000,86.880424,16139400
2022-09-23,87.500000,87.500000,84.849998,85.750000,82.256790,27738800
2022-09-26,84.900002,86.220001,83.889999,83.980003,80.558891,22043400
2022-09-27,85.610001,86.959999,84.809998,85.739998,82.247192,17307300
2022-09-28,86.120003,89.300003,85.919998,88.860001,85.240097,19543300
2022-09-29,88.180000,89.360001,87.129997,88.680000,85.067429,17896000
2022-09-30,88.169998,89.040001,87.309998,87.309998,83.753242,21357600
2022-10-03,90.040001,92.360001,89.720001,91.919998,88.175438,23881300
2022-10-04,93.239998,95.360001,92.709999,95.269997,91.388969,22133700
2022-10-05,95.750000,99.989998,95.660004,99.120003,95.082130,34857700
2022-10-06,98.470001,102.180000,98.330002,102.059998,97.902359,29124700
2022-10-07,102.190002,103.320000,100.180000,101.029999,96.914322,24507600
2022-10-10,101.489998,102.029999,98.720001,98.839996,94.813538,16786100
2022-10-11,97.220001,99.760002,96.750000,98.000000,94.007751,17804100
2022-10-12,97.500000,98.910004,97.230003,98.430000,94.420242,12635800
2022-10-13,97.550003,102.449997,97.400002,101.870003,97.720108,22019100
2022-10-14,101.120003,102.239998,99.040001,99.190002,95.149284,15222000
2022-10-17,101.070000,101.970001,100.500000,100.620003,96.521042,14283200
2022-10-18,101.540001,102.349998,99.230003,100.800003,96.693695,14065400
2022-10-19,101.250000,103.989998,101.230003,103.790001,99.561890,20921700
2022-10-20,104.320000,105.000000,103.410004,103.930000,99.696182,17649000
2022-10-21,104.449997,106.400002,103.910004,105.860001,101.547569,22814100
2022-10-24,105.660004,107.680000,105.120003,106.599998,102.257416,17024200
2022-10-25,106.410004,107.330002,105.070000,105.879997,101.566742,15719800
2022-10-26,106.260002,107.830002,106.000000,107.139999,102.775421,17383800
2022-10-27,108.410004,109.580002,107.419998,107.550003,103.168732,18214000
2022-10-28,109.459999,111.209999,108.120003,110.699997,106.190399,28169400
2022-10-31,109.500000,112.910004,109.440002,110.809998,106.295906,26401800
2022-11-01,112.370003,112.570000,110.650002,111.910004,107.351112,22213100
2022-11-02,111.580002,112.099998,109.309998,109.610001,105.144791,20654200
2022-11-03,108.580002,111.820000,108.309998,111.099998,106.574104,17103700
2022-11-04,113.000000,113.500000,110.800003,112.309998,107.734795,17541500
2022-11-07,112.410004,113.989998,112.129997,113.639999,109.010628,16008000
2022-11-08,113.480003,114.660004,112.599998,114.000000,109.355957,14661000
2022-11-09,113.099998,113.279999,108.570000,108.900002,104.463722,19522800
