Date,Open,High,Low,Close,Adj Close,Volume
2022-09-01,107.779999,108.940002,105.750000,107.529999,101.223442,6717300
2022-09-02,109.639999,112.000000,109.000000,110.260002,103.793335,6096400
2022-09-06,111.000000,111.680000,108.080002,108.629997,102.258919,7270900
2022-09-07,105.820000,107.510002,104.760002,106.760002,100.498611,6890900
2022-09-08,107.339996,109.190002,106.599998,108.320000,101.967110,7147200
2022-09-09,110.050003,112.419998,109.870003,111.970001,105.403046,6085000
2022-09-12,112.949997,115.410004,112.820000,114.389999,107.681114,6208600
2022-09-13,112.900002,114.389999,111.820000,112.330002,105.741928,6977400
2022-09-14,113.690002,118.389999,113.459999,117.709999,110.806396,9457900
2022-09-15,115.139999,117.220001,114.629997,115.559998,108.782486,9997500
2022-09-16,115.570000,115.639999,111.199997,113.129997,106.495026,14608000
2022-09-19,109.800003,113.480003,109.440002,112.870003,106.250275,6600600
2022-09-20,112.550003,112.839996,110.550003,112.070000,105.497185,5655400
2022-09-21,114.169998,114.889999,111.059998,111.089996,104.574654,5818000
2022-09-22,113.199997,113.849998,109.930000,110.059998,103.605057,4971600
2022-09-23,105.089996,105.269997,99.599998,100.589996,94.690475,10157300
2022-09-26,100.089996,102.720001,99.120003,99.199997,93.382004,8719000
2022-09-27,101.370003,102.580002,98.519997,98.760002,92.967804,8779000
2022-09-28,98.830002,103.440002,98.459999,103.000000,98.353378,9207500
2022-09-29,101.589996,104.089996,99.889999,103.660004,98.983597,5929800
2022-09-30,102.430000,103.930000,101.000000,102.339996,97.723137,7172000
2022-10-03,106.930000,110.839996,106.529999,109.970001,105.008934,7701900
2022-10-04,112.470001,115.849998,111.720001,115.620003,110.404037,7582900
2022-10-05,116.250000,117.260002,113.760002,115.930000,110.700058,10073000
2022-10-06,114.790001,118.360001,114.680000,117.650002,112.342461,6388900
2022-10-07,118.139999,121.360001,117.320000,118.510002,113.163666,9373500
2022-10-10,118.610001,120.440002,115.449997,116.800003,111.530815,5883200
2022-10-11,114.110001,118.110001,113.209999,115.580002,110.365845,7602400
2022-10-12,114.760002,117.339996,113.989998,116.300003,111.053360,6221600
2022-10-13,114.500000,123.410004,114.430000,122.739998,117.202835,7999100
2022-10-14,121.089996,122.980003,117.040001,117.959999,112.638489,7646000
2022-10-17,119.779999,121.440002,118.019997,118.360001,113.020432,6667000
2022-10-18,119.580002,120.040001,115.699997,117.889999,112.571625,6826200
2022-10-19,118.419998,121.599998,118.089996,121.110001,115.646370,5500400
2022-10-20,122.500000,124.910004,121.779999,121.809998,116.314789,6456100
2022-10-21,122.669998,124.760002,121.570000,124.489998,118.873894,5886200
2022-10-24,124.529999,126.400002,124.199997,125.139999,119.494560,5734900
2022-10-25,124.330002,125.489998,122.879997,123.940002,118.348709,7000800
2022-10-26,124.720001,128.179993,124.580002,126.570000,120.860054,8139100
2022-10-27,127.699997,129.449997,126.239998,126.639999,120.926903,8948500
2022-10-28,128.500000,128.990005,124.010002,127.169998,121.432991,7293200
2022-10-31,125.580002,129.990005,125.570000,126.089996,120.401703,7121000
2022-11-01,128.740005,129.320007,126.889999,127.779999,122.015450,5875600
2022-11-02,127.080002,129.800003,125.790001,126.510002,120.802757,7680400
2022-11-03,129.619995,136.119995,128.289993,133.820007,127.782967,13209100
2022-11-04,137.000000,138.490005,129.649994,132.320007,126.350670,10663700
2022-11-07,132.750000,136.419998,132.610001,134.940002,128.852463,6882400
